Alabama|479.7368421052632
Alaska|517.6842105263158
Arizona|3287.315789473684
Arkansas|3827.315789473684
California|12616.421052631578
Colorado|13581.026315789473
Connecticut|13921.052631578947
Delaware|14110.763157894737
District of Columbia|14164.631578947368
Florida|20214.684210526317
Georgia|22346.63157894737
Hawaii|22446.842105263157
Idaho|22888.57894736842
Illinois|25122.28947368421
Indiana|26218.86842105263
Iowa|26475.026315789473
Kansas|26809.21052631579
Kentucky|27580.28947368421
Louisiana|28454.605263157893
Maine|28491.342105263157
Maryland|29443.78947368421
Massachusetts*|29454.86842105263
Michigan|30699.42105263158
Minnesota|31156.657894736843
Mississippi|31386.184210526317
Missouri|32688.447368421053
Montana|32950.34210526316
Nebraska|33199.39473684211
Nevada|33990.78947368421
New Hampshire|34383.81578947369
New Jersey|35297.57894736842
New Mexico|36266.0
New York|39372.52631578947
North Carolina|42667.60526315789
North Dakota|42722.07894736842
Ohio|45040.84210526316
Oklahoma|45701.68421052631
Oregon|46820.68421052631
Pennsylvania|51626.81578947369
Rhode Island|51754.97368421053
South Carolina|53009.18421052631
South Dakota|53149.71052631579
Tennessee|54298.97368421053
Texas|59827.28947368421
Utah|60553.55263157895
Vermont*|60554.42105263158
Virginia|62203.23684210526
Washington|62826.94736842105
West Virginia|62937.23684210526
Wisconsin|64340.0
Wyoming|64522.68421052631
Total|129044.81578947368
